,word,counts
1354,莫过于,10
1355,分开,21
1356,主演,59
1357,剧本,214
1358,是不是,103
1359,赞,86
1360,俯拾即是,2
1361,奢侈,3
1362,马蒂达,8
1363,隐藏,30
1364,感情,120
1365,嫌,11
1366,轰动,7
1367,长河,6
1368,褪色,10
1369,不少,151
1370,原因,75
1371,证实,2
1372,核心,39
1373,20170618SIFF4K,4
1374,视听,49
1375,语言,128
1376,精湛,31
1377,无比,84
1378,尤其,227
1379,升降,5
1380,手持,19
1381,鱼眼,4
1382,教科书,68
1383,级,80
1384,开场,69
1385,大特写,12
1386,组合,28
1387,无可挑剔,31
1388,五年,8
1389,多前,5
1390,颇具,13
1391,古典,46
1392,沉浸,25
1393,ps,51
1394,太仙,9
1395,9.0,34
1396,10,193
1397,過去,4
1398,電影,69
1399,造梦师,1
1400,创造力,19
1401,摩托,42
1402,百看不厌,10
1403,注重,18
1404,这点,40
1405,意义,215
1406,更为,47
1407,重大,15
1408,佩服,52
1409,执行力,2
1410,意趣,2
1411,利用,56
1412,一秒,24
1413,穿梭,17
1414,需要,153
1415,从来,34
1416,做好,9
1417,两样,7
1418,事情,84
1419,穆赫兰道,6
1420,现代,77
1421,喜剧电影,19
1422,祖师爷,6
1423,视角,96
1424,独特,67
1425,Geek,2
1426,赛博,47
1427,朋克,61
1428,欲望,44
1429,齐泽克,1
1430,二世,34
1431,书籍,2
1432,没法,45
1433,教给,2
1434,主人公,49
1435,剪得,2
1436,异常,32
1437,精确,7
1438,说出,10
1439,主题,224
1440,华彩,2
1441,过后,21
1442,尾声,14
1443,哲学,176
1444,归属于,1
1445,层面,33
1446,隔离,1
1447,形成,37
1448,置,3
1449,聪明,37
1450,效仿,6
1451,抱得,3
1452,美人归,4
1453,理想主义,20
1454,理由,40
1455,拒绝,7
1456,万恶之源,1
1457,鬼畜,1
1458,桌球,11
1459,最牛叉,1
1460,骑,21
1461,妙趣横生,23
1462,俩,30
1463,保护,22
1464,喜爱,44
1465,那盆,2
1466,植物种,3
1467,土壤,12
1468,安全,13
1469,足以,52
1470,屌丝,11
1471,奇遇记,1
1472,不敢相信,8
1473,虚幻,28
1474,大卫,34
1475,林奇,1
1476,把戏,1
1477,这时候,4
1478,视觉享受,4
1479,做,383
1480,巨大,61
1481,努力,53
1482,惊奇,14
1483,出彩,79
1484,师从,3
1485,挠头,1
1486,太有,33
1487,童趣,1
1488,亲身,5
1489,检验,5
1490,之后,275
1491,相信,100
1492,大多数,24
1493,影评人,11
1494,有意无意,1
1495,忽略,26
1496,被誉为,8
1497,第一,78
1498,提及,5
1499,构想,4
1500,超凡,3
1501,不相上下,5
1502,理念,21
1503,有别,1
1504,强调,13
1505,批判,43
1506,看重,6
1507,欢笑,4
1508,价值,62
1509,不多,19
1510,憾事,1
1511,拼,25
1512,运气,15
1513,不好,83
1514,十条,1
1515,命,30
1516,短短的,4
1517,四十余,1
1518,无声,7
1519,人物性格,24
1520,刻画,114
1521,细腻,54
1522,摇,3
1523,后段,1
1524,六十年代,6
1525,加拿大,2
1526,片,640
1527,梅里,7
1528,埃是,1
1529,二位,3
1530,剧组,4
1531,打杂,2
1532,观望,5
1533,心满意足,3
1534,wild,2
1535,imagination,1
1536,无人,44
1537,能及,2
1538,放纵,8
1539,爱是,7
1540,克制,28
1541,着想,4
1542,太冷,18
1543,唯一,121
1544,媲美,14
1545,中巴,1
1546,展现,111
1547,非凡,23
1548,二次,4
1549,变换,5
1550,花样,13
1551,连锁反应,6
1552,剪接,19
1553,五体投地,16
1554,加入,58
1555,人文,24
1556,关怀,15
1557,尊崇,1
1558,萝莉萌,2
1559,中间,80
1560,粗糙,34
1561,发展,112
1562,不足,43
1563,缺乏,52
1564,张,21
1565,嘴,8
1566,孤胆,23
1567,悲情,18
1568,忽然,11
1569,掏出,2
1570,放大镜,1
1571,钻石,1
1572,放大,19
1573,无厘头,62
1574,丢,37
1575,手表,7
1576,A,63
1577,计划,30
1578,续集,80
1579,抄桥,1
1580,老爷车,1
1581,后视镜,1
1582,伏笔,24
1583,处处,40
1584,号球,6
1585,冥想,1
1586,形式,111
1587,一边,59
1588,盗梦,24
1589,羞羞,2
1590,邻居们,1
1591,壮汉,2
1592,好像,135
1593,爱上你,6
1594,胃痛,4
1595,再也不会,12
1596,由大,1
1597,直接,141
1598,全景,16
1599,各有千秋,12
1600,大开,8
1601,意识,97
1602,惊人,25
1603,涉及,39
1604,思考,147
1605,创造性,2
1606,无意识,4
1607,无疑,64
1608,启发,20
1609,理论家,1
1610,重新认识,1
1611,明显,101
1612,机智,11
1613,调皮,2
1614,妙用,1
1615,会心一笑,12
1616,蒙太奇,26
1617,视觉,136
1618,营造,84
1619,无论是,81
1620,BusterKeaton,2
1621,诞辰,1
1622,看看,89
1623,真让人,8
1624,嫉妒,16
1625,总要,6
1626,发抖,1
1627,折磨,23
1628,入,21
1629,上演,16
1630,合成,5
1631,秀,35
1632,戏均,1
1633,叹服,12
1634,精彩绝伦,10
1635,拍案叫绝,10
1636,小人物,39
1637,白日梦,6
1638,巴特,9
1639,爱巢,1
1640,对照,23
1641,关系,164
1642,隐喻,130
1643,出入,14
1644,沉船,2
1645,车戏,2
1646,唐伯虎,5
1647,点秋香,4
1648,旋转门,1
1649,夜来香,1
1650,人术,1
1651,惊险刺激,14
1652,短短,11
1653,两分钟,13
1654,奇幻,22
1655,片尾,97
1656,框式,1
1657,构图,197
1658,借鉴,55
1659,表爱,1
1660,令人感动,8
1661,下意识,8
1662,满分,69
1663,必须,79
1664,花絮,13
1665,莫文蔚,12
1666,COS,3
1667,整鬼,3
1668,专家,8
1669,吕克贝,39
1670,松,35
1671,讲,208
1672,雷,5
1673,很帅,39
1674,只能,228
1675,演技,201
1676,天生,10
1677,follow,1
1678,closely,11
1679,换装,3
1680,宿命论,8
1681,太棒,16
1682,惊艳,109
1683,颇,56
1684,后来,207
1685,星战,27
1686,女皇,5
1687,革新,10
1688,溢美之词,3
1689,不为过,14
1690,更何况,5
1691,此种,2
1692,之上,24
1693,填充,2
1694,简单,198
1695,层次,39
1696,叙述,47
1697,辅以,5
1698,制造,45
1699,出远,1
1700,超出,31
1701,期待,129
1702,9.2,10
1703,盛名之下,6
1704,小丑,203
1705,杂技演员,8
1706,流浪汉,5
1707,家庭,66
1708,社区,2
1709,哲学家,2
1710,劳动者,6
1711,讲故事,53
1712,贡献,33
1713,造梦者,1
